               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10102,            0.021952,             0.07105,             0.31389,             0.09795,             0.02511,           0.0099382,            0.077001,            0.014406,            0.066874,            0.070227,           0.0033081,           0.0033081
                   1,            0.072137,            0.020913,             0.06318,              0.5041,            0.099664,            0.047319,            0.023174,            0.065048,            0.012473,            0.063197,            0.040214,           0.0066283,           0.0066283
                   2,            0.068181,            0.019482,            0.060395,              0.5223,            0.092238,            0.061854,            0.029423,            0.061236,            0.014634,            0.061283,            0.010188,           0.0099352,           0.0099352
                   3,             0.06562,            0.019501,            0.056902,             0.57295,            0.087505,            0.064125,            0.031954,             0.06033,            0.014144,            0.059456,           0.0099406,           0.0099406,           0.0099406
                   4,            0.061907,            0.018967,            0.055195,              0.4156,             0.13386,            0.087639,            0.046381,            0.058059,            0.012365,            0.057516,           0.0099406,           0.0099406,           0.0099406
                   5,            0.060505,            0.019093,            0.052661,             0.32274,             0.12675,            0.072806,            0.037391,              0.0602,             0.01327,            0.057731,           0.0099208,           0.0099208,           0.0099208
                   6,             0.05925,            0.019017,             0.04999,             0.15815,             0.12627,            0.076127,            0.039543,            0.061069,            0.013956,            0.057444,            0.009901,            0.009901,            0.009901
                   7,            0.059221,             0.01859,            0.047851,             0.26031,             0.17207,             0.12939,            0.070087,            0.056563,            0.012131,            0.054334,           0.0098812,           0.0098812,           0.0098812
                   8,             0.05808,            0.018703,            0.045836,             0.18168,             0.19767,             0.12957,            0.068231,             0.05744,            0.012119,            0.054494,           0.0098614,           0.0098614,           0.0098614
                   9,             0.05757,            0.018166,            0.044345,             0.30167,             0.18337,             0.14681,            0.079135,            0.055906,            0.011986,            0.054184,           0.0098416,           0.0098416,           0.0098416
                  10,            0.057358,            0.017934,            0.042752,              0.2047,             0.21682,             0.15693,            0.086852,            0.055658,            0.011793,            0.052292,           0.0098218,           0.0098218,           0.0098218
                  11,            0.056464,            0.017775,            0.039767,             0.22233,             0.20353,             0.14747,            0.081049,            0.055275,            0.012279,             0.05228,            0.009802,            0.009802,            0.009802
                  12,            0.056175,             0.01796,            0.038142,             0.20548,              0.2064,             0.15025,            0.085178,              0.0569,            0.012549,            0.053744,           0.0097822,           0.0097822,           0.0097822
                  13,            0.055704,             0.01751,            0.036305,             0.30211,             0.20422,             0.16151,            0.093888,            0.056498,            0.012603,             0.05359,           0.0097624,           0.0097624,           0.0097624
                  14,            0.055652,            0.017628,            0.035179,             0.32189,             0.22506,             0.16829,             0.09339,            0.055126,            0.011938,            0.052388,           0.0097426,           0.0097426,           0.0097426
                  15,            0.055001,            0.017364,            0.033634,             0.28004,             0.24192,             0.19964,               0.114,            0.054275,            0.011878,            0.050835,           0.0097228,           0.0097228,           0.0097228
                  16,            0.054856,            0.017045,            0.031684,             0.27122,             0.24154,              0.1953,             0.10747,            0.055202,            0.012103,            0.051313,            0.009703,            0.009703,            0.009703
                  17,            0.054498,            0.016487,            0.030654,             0.27512,             0.23996,             0.19212,             0.10814,            0.055297,            0.012617,            0.051767,           0.0096832,           0.0096832,           0.0096832
                  18,            0.053546,            0.016951,            0.029236,             0.36538,             0.24777,             0.20124,             0.11778,            0.054117,            0.012207,            0.051059,           0.0096634,           0.0096634,           0.0096634
                  19,            0.053823,            0.016566,            0.028697,             0.28505,              0.2469,             0.20658,             0.12191,             0.05499,            0.012143,            0.051587,           0.0096436,           0.0096436,           0.0096436
                  20,            0.053363,            0.016616,            0.027546,             0.36224,             0.22961,             0.21907,             0.12873,            0.053967,            0.011871,            0.051887,           0.0096238,           0.0096238,           0.0096238
                  21,            0.052882,            0.016301,            0.025579,             0.40973,             0.23607,             0.22235,              0.1293,            0.054258,            0.011993,            0.050664,            0.009604,            0.009604,            0.009604
                  22,            0.053215,            0.016301,            0.024905,             0.36291,             0.22691,             0.22309,             0.13294,            0.053638,            0.011678,             0.05108,           0.0095842,           0.0095842,           0.0095842
                  23,              0.0524,            0.016306,            0.024021,             0.40995,              0.2618,             0.24712,             0.14889,            0.053082,            0.011736,            0.048856,           0.0095644,           0.0095644,           0.0095644
                  24,            0.052652,            0.016305,            0.022842,             0.36796,              0.2682,             0.24585,             0.14581,            0.052965,            0.011824,            0.049393,           0.0095446,           0.0095446,           0.0095446
                  25,            0.052154,            0.016054,            0.021943,             0.38365,             0.26413,             0.25084,             0.14485,            0.053596,            0.011928,            0.049712,           0.0095248,           0.0095248,           0.0095248
                  26,            0.051776,            0.016012,            0.020697,             0.42485,             0.25675,             0.25493,             0.15161,            0.053072,            0.012213,             0.04813,            0.009505,            0.009505,            0.009505
                  27,            0.050931,             0.01566,            0.019459,             0.46214,             0.24748,             0.25082,             0.15078,             0.05284,            0.011582,            0.049751,           0.0094852,           0.0094852,           0.0094852
                  28,            0.051579,            0.015759,            0.019034,              0.4744,             0.26683,             0.26465,             0.16136,            0.052204,            0.011679,              0.0498,           0.0094654,           0.0094654,           0.0094654
                  29,            0.051079,            0.015439,            0.018681,             0.41909,              0.2791,             0.27669,             0.16629,            0.052704,            0.011825,             0.05047,           0.0094456,           0.0094456,           0.0094456
                  30,            0.051386,            0.015513,            0.018718,              0.4894,             0.26461,             0.27516,             0.16774,            0.052603,            0.011642,            0.047742,           0.0094258,           0.0094258,           0.0094258
                  31,            0.050748,            0.015304,            0.018015,             0.44512,             0.27192,             0.27429,             0.16599,            0.052541,            0.011929,            0.049617,            0.009406,            0.009406,            0.009406
                  32,            0.051181,            0.015582,            0.017577,             0.45444,             0.25481,             0.25983,             0.15637,            0.053479,            0.012212,            0.050913,           0.0093862,           0.0093862,           0.0093862
                  33,             0.05072,            0.015524,            0.016696,             0.47445,             0.27333,             0.28102,             0.17512,             0.05193,            0.012202,            0.049094,           0.0093664,           0.0093664,           0.0093664
                  34,            0.050326,            0.015292,             0.01651,             0.53737,             0.27588,             0.28902,             0.17934,              0.0512,             0.01186,            0.050553,           0.0093466,           0.0093466,           0.0093466
                  35,            0.049855,            0.015142,            0.016116,             0.49019,             0.29242,             0.29148,              0.1757,            0.051549,            0.011979,            0.047726,           0.0093268,           0.0093268,           0.0093268
                  36,            0.049162,            0.014983,             0.01556,             0.43955,             0.28295,             0.27131,             0.16656,            0.051144,            0.011713,            0.051058,            0.009307,            0.009307,            0.009307
                  37,             0.04947,            0.014685,            0.015195,             0.46963,             0.30393,             0.29531,             0.18218,            0.051947,            0.011639,            0.049897,           0.0092872,           0.0092872,           0.0092872
                  38,            0.048818,            0.015035,             0.01451,             0.47445,             0.28816,             0.28924,             0.17835,            0.051866,            0.011871,            0.049478,           0.0092674,           0.0092674,           0.0092674
                  39,            0.049255,            0.014659,            0.014634,             0.52572,             0.29835,             0.30718,             0.18839,            0.050961,            0.011641,            0.048676,           0.0092476,           0.0092476,           0.0092476
                  40,            0.048682,            0.014638,            0.013582,             0.52539,             0.30801,             0.31694,             0.19706,            0.050597,            0.011459,             0.04863,           0.0092278,           0.0092278,           0.0092278
                  41,            0.048484,            0.014308,            0.013351,             0.47355,             0.30892,             0.30957,             0.19233,            0.051317,            0.011713,            0.047868,            0.009208,            0.009208,            0.009208
                  42,            0.048465,             0.01454,            0.013048,             0.54798,             0.30379,             0.31768,             0.20191,            0.050481,            0.011616,            0.048489,           0.0091882,           0.0091882,           0.0091882
                  43,            0.047502,             0.01401,            0.012977,             0.52632,             0.30445,             0.31447,              0.1978,             0.05054,            0.011455,            0.050228,           0.0091684,           0.0091684,           0.0091684
